Hash;Timestamp;Branching Time;Merge Time;Committers 1;Committers 2;Diff Committers;Same Committers;Commits 1;Commits 2;Changed Files 1;Changed Files 2;Changed Files Intersection;Conflict;Conflicted Files;Chunks;Modified Chunks;Self Conflicts
0e88291ef26f541a63d888fabc58b89c84386f62;2017-04-27 14:16:58 +0200;16.4134144;17.1961574;3;1;3;0;50;2;99;2;NONE;false;0;0;0;0
3ed6cae1ba0c2d1b1e41c88e0e97bc46b8552c6f;2017-04-27 14:11:59 +0200;3.2708681;3.2972222;1;1;1;0;36;2;88;8;SOME;true;1;4;4;0
51657a46448b98cbf7fa016aacbf4afb3b25d12c;2017-04-27 13:34:35 +0200;41.4687384;47.7375579;10;1;10;0;77;1;79;8;SOME;false;0;0;0;0
0f07ecc9da8bfda0d2504e6eed3a7ac7b212a7f0;2017-04-12 08:02:19 +0200;0.7476505;1.9359838;1;1;1;0;2;1;3;2;NONE;false;0;0;0;0
c9bf0831c28d763ecf8717a588c56a6a3eebce07;2017-04-04 11:15:36 +0200;1.8008449;4.0549306;2;1;2;0;6;1;4;1;NONE;false;0;0;0;0
5ad92661decc606bdfd2d873ecd1bf7744767000;2017-04-04 10:13:55 +0200;1.7735764;4.0120949;1;1;1;0;2;3;2;2;NONE;false;0;0;0;0
a1ca03aef13c46193d3926dbd1e1ccb7c44c0b2e;2017-03-31 09:56:30 +0200;2.7178704;2.7517014;3;1;3;0;8;1;7;1;NONE;false;0;0;0;0
99529fbec5da7ab699c4de08644f77212ca89e31;2017-03-31 09:11:13 +0200;2.6553819;2.7202546;3;1;2;1;6;1;6;1;NONE;false;0;0;0;0
7ac00770fb4f45b9a1471b8ede9586c840f47477;2017-03-31 09:10:30 +0200;2.6456481;2.7197569;2;1;2;0;4;1;5;1;NONE;false;0;0;0;0
3360228af1be9f2e25f1b2c74316887e6afaaa9f;2017-03-31 09:10:04 +0200;2.7209144;2.8267708;2;1;2;0;5;1;11;1;NONE;false;0;0;0;0
5bfe06d24b27966b315d5e201ee8128968d5b20a;2017-03-28 15:53:09 +0200;0.5337500;1.1062963;1;1;0;1;1;1;3;6;NONE;false;0;0;0;0
4855ffb7cdc348b2c3073dab1b12a9bf3cddbd2e;2017-03-27 13:20:05 +0200;3.4575579;3.4607870;4;1;3;1;10;2;8;5;NONE;false;0;0;0;0
3f0e19964bc8afc2a814148609da69d6385c9b25;2017-03-27 13:19:52 +0200;2.6686921;3.4575579;3;1;3;0;6;2;3;5;NONE;false;0;0;0;0
72dd7eeb073920cce44612097685f24813ad3fb5;2017-03-24 01:16:33 +0100;375.0618287;375.0824653;49;1;48;1;963;1;771;5;SOME;true;2;19;19;2
2693f64c69952d24dc1579cee73716b95c80c61b;2017-03-22 18:21:00 +0100;0.5404514;1.4887153;1;1;1;0;2;1;1;2;NONE;false;0;0;0;0
97dad89784671ef522363f9ef9eeb8b2614f21c0;2017-03-21 06:37:15 +0100;225.3919329;225.9298727;30;1;30;0;354;1;413;1;ALL;false;0;0;0;0
6059f31546ae5297645a300f706658975bc74004;2017-03-20 17:49:00 +0100;4.0809491;4.1136343;1;1;0;1;2;6;1;17;NONE;false;0;0;0;0
8411ad7bfcce2ec3273c08a31b0d2ad73102faca;2017-03-16 15:05:22 +0100;2.8422106;5.8422685;2;1;1;1;9;2;13;3;NONE;false;0;0;0;0
2eec7687133546794fc5fac17a621eef3111cd4e;2017-03-16 15:01:47 +0100;2.8365162;5.8397801;2;1;1;1;7;1;12;1;NONE;false;0;0;0;0
d0a003cdf46e9d224135092351e9fb8682f367ce;2017-03-16 14:53:35 +0100;1.3830093;1.8479861;1;1;1;0;2;1;2;2;NONE;false;0;0;0;0
02d24d0a96c68c2816628322f7fcdec56604521a;2017-03-09 13:23:34 +0100;1.1533449;2.5579630;1;1;1;0;4;2;9;4;SOME;false;0;0;0;0
c3a6b1d133182f772094b728c7569505a5d086ae;2017-03-04 09:56:01 +0100;10.7820949;10.9036806;7;1;7;0;45;1;103;2;ALL;false;0;0;0;0
dfc6f4b03f01955bf129efa869cb3ba228e3c759;2017-03-04 09:43:43 +0100;1.9620602;1.9790509;3;1;2;1;10;8;21;10;NONE;false;0;0;0;0
f3be632a57b836560635d4ab97583a363d257e45;2017-03-03 10:33:55 +0100;2.0090625;3.0346875;4;2;3;1;15;5;62;12;NONE;false;0;0;0;0
575fcef09aff3de5e649c8bf0d8e088e6ec1c4e7;2017-03-01 21:58:08 +0100;0.9659838;1.5098380;1;1;1;0;3;5;38;8;NONE;false;0;0;0;0
d89c93bf709715e435dfbf853c8ffc323f3d642c;2017-02-23 08:58:48 +0100;1.6224306;2.6051389;2;1;1;1;5;2;8;3;NONE;false;0;0;0;0
434e6c8c253332ee19f54cc530a06daf9a685e82;2017-02-22 12:42:12 +0100;176.1343981;183.1620602;26;1;26;0;251;1;311;2;NONE;false;0;0;0;0
717cc16d9bd827024e23710b89435726f46590f2;2017-02-21 12:11:57 +0100;3.2093287;3.9656019;1;2;1;1;1;5;6;23;SOME;true;1;4;4;4
9b85f05365fab3f3a6595ca258dcb2415343efc6;2017-02-17 12:02:54 +0100;0.0958218;0.7727083;1;1;1;0;2;1;2;2;NONE;false;0;0;0;0
